Month,Avereage Temp (Knysna),Avereage Temp (Muizenburg),Avereage Temp (Port Nolloth)
January ,20.35193333,19.55834884,13.00510256
February,19.78542222,19.02190698,13.31648718
March,18.73238095,17.7142619,13.01407895
April,17.12370455,15.94357143,12.81110526
May,16.24842105,14.19118605,12.54015385
June,15.19125,12.76109524,12.26971795
July,14.57302381,12.34997674,11.87348718
August,14.92551163,12.82683721,11.8375
September,15.83562791,14.07783721,11.80361538
October,17.1152619,15.79030952,12.05213158
November,18.3514186,17.6104186,12.46648718
December,19.71392683,19.04044186,12.89361538
